Jeff,Green,C,35,DEN,0.513611111,24.65333333,0.318,0.374,2.6,11.1,7.3,0.7,1.3,10.3,16.3,0.315,0.62,0.833
Scottie,Barnes,PF,20,TOR,0.736768018,35.36486486,0.207,0.231,7.7,15.8,14.7,1.5,2.1,11.7,19,0.301,0.543,0.735
Nikola,Jokić,C,26,DEN,0.697072072,33.45945946,0.22,0.357,9.6,35.5,42.6,2.2,2.3,15.6,31.9,0.337,0.652,0.81
Karl-Anthony,Towns,C,26,MIN,0.697072072,33.45945946,0.301,0.385,8.2,23.6,18,1.4,3.2,13.7,27.8,0.41,0.58,0.822
Jonas,Valančiūnas,C,29,NOP,0.630630631,30.27027027,0.168,0.308,10.9,31.2,14,0.9,2.6,14.4,23.8,0.361,0.581,0.82
Kevin,Huerter,SG,23,ATL,0.615990991,29.56756757,0.541,0.068,1.6,11,13.2,1.2,1.1,10.4,17.5,0.389,0.53,0.808
Clint,Capela,C,27,ATL,0.574887387,27.59459459,0.002,0.28,15,31.9,6.6,1.3,4.1,6.1,15.5,0,0.614,0.473
Jarred,Vanderbilt,PF,22,MIN,0.529279279,25.40540541,0.039,0.363,12,23.9,6.7,2.5,2.4,14.8,10.9,0.143,0.605,0.656
Kevin,Love,PF,33,CLE,0.46875,22.5,0.627,0.26,5.9,29.2,15.3,0.8,1,10.4,25.1,0.392,0.493,0.838
Josh,Christopher,SG,20,HOU,0.375563063,18.02702703,0.378,0.226,4.3,11.1,17.3,2.3,0.9,17.2,21.1,0.296,0.54,0.735
JaVale,McGee,C,34,PHO,0.329954955,15.83783784,0.02,0.319,15.3,29.7,5.4,0.9,6.1,15.8,22.8,0.222,0.637,0.699
Tobias,Harris,PF,29,PHI,0.725742009,34.83561644,0.269,0.198,3.4,18.1,15.9,0.9,1.5,9.5,21.7,0.367,0.525,0.842
Terry,Rozier,SG,27,CHO,0.701484018,33.67123288,0.508,0.151,2.4,11.3,19.7,1.8,1,7.2,23.2,0.374,0.516,0.852
